id,article_id,tag,created_at
0badfbb1-0cdf-4ca3-892b-0ad23e909c0f,791b9262-c8d4-4711-9fc0-842f26178218,Video Monetization,2026-01-27 18:11:16.754536+00
12769237-6ad7-416d-baff-82f6b25bc045,791b9262-c8d4-4711-9fc0-842f26178218,Faceless Channels,2026-01-27 18:11:16.754536+00
43676cfc-efa9-4af5-ac9a-5daf48d2336f,791b9262-c8d4-4711-9fc0-842f26178218,YouTube Strategy,2026-01-27 19:17:33.83095+00
6eb24750-63f8-471d-b205-a8a28f89b02b,791b9262-c8d4-4711-9fc0-842f26178218,Content Automation,2026-01-27 19:17:33.83095+00
7ca2b597-5651-405c-97db-072eeab004ee,791b9262-c8d4-4711-9fc0-842f26178218,Digital Ghosting,2026-01-27 18:11:16.754536+00
8baf7d39-5cbf-4074-b0b5-a2e0cec6814d,791b9262-c8d4-4711-9fc0-842f26178218,Stock Footage,2026-01-27 19:17:33.83095+00
a5268ec3-03b9-479c-8c76-a0a10daedca3,791b9262-c8d4-4711-9fc0-842f26178218,AI Voice Synthesis,2026-01-27 19:17:33.83095+00
a87e1ad2-a90b-4ce2-9551-810609b54cac,791b9262-c8d4-4711-9fc0-842f26178218,Content Creation AI,2026-01-27 18:11:16.754536+00
ef71a175-8a1b-47fa-a25d-a02199c0517d,791b9262-c8d4-4711-9fc0-842f26178218,YouTube Automation,2026-01-27 18:11:16.754536+00
fb0d9882-d5de-4aa7-9661-fa16812cf3a1,791b9262-c8d4-4711-9fc0-842f26178218,Passive Income 2026,2026-01-27 18:11:16.754536+00