id,learning_path_id,title,description,content_type,content_url,duration_minutes,order_index,prerequisites,created_at,module_group,learning_objectives
038ef516-0d06-45a4-bae9-fa4f07b8882b,3b6b0aaa-cda5-4525-b29c-3d08b98005f5,Content Pillars & Strategy,Brainstorm and structure your first 50 video ideas around 3-5 core themes.,interactive,,60,3,,2025-11-25 12:28:43.805903+00,,
165893bd-8cad-4513-b927-d518561e287b,3b6b0aaa-cda5-4525-b29c-3d08b98005f5,YouTube SEO & CTR Strategy,Optimize videos for discoverability and clicks to beat the competition.,article,,45,8,,2025-11-25 12:28:43.805903+00,,
30845c4d-6ad3-453c-b97c-44c980791931,3b6b0aaa-cda5-4525-b29c-3d08b98005f5,Voiceover & Audio Mastery,"Achieve professional-grade, consistent audio quality using AI tools.",video,,40,6,,2025-11-25 12:28:43.805903+00,,
3ebdf6a7-2498-47bb-9e1a-cb47f74b8327,3b6b0aaa-cda5-4525-b29c-3d08b98005f5,Team Building & Outsourcing,Hire and manage Virtual Assistants to handle the production pipeline.,article,,35,10,,2025-11-25 12:28:43.805903+00,,
5675bb6e-0be6-49a6-b183-63b3ea8bbcf7,3b6b0aaa-cda5-4525-b29c-3d08b98005f5,Diversified Monetization,Move beyond AdSense and create multiple revenue streams for stability.,video,,55,9,,2025-11-25 12:28:43.805903+00,,
6f82c3b5-f9b5-4dcc-87a0-216c1c3f0e32,3b6b0aaa-cda5-4525-b29c-3d08b98005f5,Visual Creation & Editing,Build the first videos and sync visuals perfectly to the audio track.,video,,90,7,,2025-11-25 12:28:43.805903+00,,
b6eb3569-4405-4ef9-96ad-067f56fa2fb7,3b6b0aaa-cda5-4525-b29c-3d08b98005f5,Basic Tool & Channel Setup,"Set up the channel, necessary accounts, and basic quality control tools.",article,,20,4,,2025-11-25 12:28:43.805903+00,,
b90c2607-79d5-4495-923d-90ceac66920b,3b6b0aaa-cda5-4525-b29c-3d08b98005f5,Brand Identity & Voice,Develop a strong unique visual and verbal brand that stands out without a face.,article,,30,2,,2025-11-25 12:28:43.805903+00,,
cfde104f-3f42-4786-ad03-3722bbf061bc,3b6b0aaa-cda5-4525-b29c-3d08b98005f5,Scripting for Retention,Master the structure of a high-retention video script to keep viewers watching.,video,,50,5,,2025-11-25 12:28:43.805903+00,,
d0d0f057-9df7-45b8-8317-ca39d98c432f,3b6b0aaa-cda5-4525-b29c-3d08b98005f5,Algorithm & Growth Tactics,Leverage advanced analytics to trigger the algorithm.,video,,60,11,,2025-11-25 12:28:43.805903+00,,
eb683328-8ece-41aa-bcb5-4b67d07f369e,3b6b0aaa-cda5-4525-b29c-3d08b98005f5,Niche & Market Research,"Find a profitable niche with high demand, low saturation, and high Revenue Per Mille (RPM).",video,,45,1,,2025-11-25 12:28:43.805903+00,,
ff065511-5f85-4bcd-b51c-c04d3b83b833,3b6b0aaa-cda5-4525-b29c-3d08b98005f5,Multi-Channel Scaling,Clone the proven system to launch multiple profitable channels.,article,,30,12,,2025-11-25 12:28:43.805903+00,,