id,level_order,level_title,module_order,module_title,core_goal,key_concepts
0ef1829d-97e6-4714-8d8e-847dbfa84f66,3,Scaling & Monetization (Expert),12,Multi-Channel Scaling,Clone the proven system to launch and run multiple profitable channels in different niches.,"[""System Replication: Apply the validated Niche/Pillar/Automation flow to new markets."",""Legal & Compliance: Understand YouTube's copyright system and monetization rules for scaling.""]"
1449e2cb-9167-4db3-b222-ae9c7a8db14b,1,Foundation & Niche Validation (Beginner),2,Brand Identity & Voice,Develop a strong unique visual and verbal brand that stands out without a face.,"[""Visual Pillars: Define consistent color schemes, fonts, and animation/footage styles."",""Verbal Brand: Define the consistent tone, pace, and personality of the voiceover.""]"
389d576d-ff82-469d-99ff-f538e5a82e60,3,Scaling & Monetization (Expert),11,Algorithm & Growth Tactics,Leverage advanced analytics to trigger the algorithm and maximize Watch Time and Click-Through Rate (CTR).,"[""Data Analysis: Double down on topics that yield high retention/CTR."",""Audience Funnels: Using YouTube Shorts for rapid subscriber growth and lead generation.""]"
3c3e7e8f-0f01-4a55-b541-79c8f547d72b,1,Foundation & Niche Validation (Beginner),4,Basic Tool & Channel Setup,"Set up the channel, necessary accounts, and basic quality control tools.","[""Channel Setup: Name, logo, banner, optimized profile picture."",""Basic QC: Define minimum standards for audio/visual quality and pacing.""]"
4ba2dfc6-f054-492a-9460-4db32bb2c813,2,Systemization & Production Flow (Intermediate),8,YouTube SEO & CTR Strategy,Optimize videos for discoverability and clicks to beat the competition.,"[""Title/Thumbnail Strategy: Promise a clear benefit and test designs fast."",""Keyword Research: Use tools to find low-competition, high-search-volume terms."",""Tagging and Description Optimization.""]"
6b0fc535-afc9-4c54-8c22-b9a8c6d27cbb,1,Foundation & Niche Validation (Beginner),1,Niche & Market Research,"Find a profitable niche with high demand, low saturation, and high Revenue Per Mille (RPM).","[""Sweet Spot Analysis: Balance passion/knowledge with market demand/monetization potential."",""RPM Targeting: Prioritize niches with high advertiser demand (Finance, Tech).""]"
a464293d-52b4-4366-a063-5c7bc146abef,2,Systemization & Production Flow (Intermediate),6,Voiceover & Audio Mastery,"Achieve professional-grade, consistent audio quality using AI or outsourcing.","[""AI Voices: Select TTS or Voice Cloning tools (Fliki, ElevenLabs) and set the correct tone."",""Audio QC: Implementing noise reduction and consistency checks using tools like Descript Studio Sound.""]"
bc224495-da83-4314-a15f-104587db89eb,3,Scaling & Monetization (Expert),9,Diversified Monetization,Move beyond AdSense and create multiple revenue streams for financial stability.,"[""Monetization Stack: Implement Affiliate Marketing, Digital Products (eBooks/Templates), and Brand Sponsorships."",""Revenue Diversification Plan (3-5 streams).""]"
bf94a9c7-511b-4eeb-9f59-6371251c8ad3,3,Scaling & Monetization (Expert),10,Team Building & Outsourcing,Hire and manage Virtual Assistants (VAs) or specialized freelancers to handle the production pipeline.,"[""Workflow Automation: Delegate scripting, voiceovers, and editing (Module 5-7)."",""Standard Operating Procedures (SOPs): Create clear guides for quality control and output.""]"
c5c835eb-69e3-4756-982a-b40394ff8e41,2,Systemization & Production Flow (Intermediate),7,Visual Creation & Editing,Build the first videos and sync visuals perfectly to the audio track.,"[""Visual Flow: Syncing B-roll/stock footage/animations to the script."",""Tools: Master an AI tool (Pictory, Runway) and a dedicated editor (CapCut, DaVinci Resolve).""]"
d9ebfeb8-7cf7-4660-92c2-a2cd7de0f277,1,Foundation & Niche Validation (Beginner),3,Content Pillars & Strategy,Brainstorm and structure your first 50 video ideas around 3-5 core themes.,"[""Content Pillars: Organize topics (e.g., \""Finance\"" -> \""Budgeting\"", \""Investing\"", \""Credit\"")."",""50-Idea Inventory: Deliverable of 50 structured, optimized titles/concepts.""]"
e0cfac7e-8829-49b9-8337-ae443a18cc55,2,Systemization & Production Flow (Intermediate),5,Scripting for Retention,Master the structure of a high-retention video script.,"[""The HOOK Formula: Crafting the first 15 seconds (Question, Shocking Fact, Clear Promise)."",""Script Formatting: Structuring the text for visual sync and pacing cues.""]"